Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name,,bad_ticker
A,Agilent Technologies Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AA,Alcoa Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AAL,American Airlines Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AAN,"Aaron's, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AAOI,Applied Optoelectronics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AAON,"AAON, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AAP,"Advance Auto Parts, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AAPL,Apple Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AAT,"American Assets Trust, Inc",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AAWW,"Atlas Air Worldwide Holdings, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ABBV,AbbVie Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ABC,AmerisourceBergen Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ABCB,Ameris Bancorp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ABG,"Asbury Automotive Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ABM,"ABM Industries, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ABMD,"ABIOMED, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ABT,Abbott Laboratories,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACAD,ACADIA Pharmaceuticals Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACC,"American Campus Communities, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACCO,ACCO Brands Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACET,Aceto Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACGL,Arch Capital Group Ltd.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACHC,Acadia Healthcare Company Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACHN,"Achillion Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACIW,ACI Worldwide Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACLS,Axcelis Technologies Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACM,Aecom,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACN,Accenture Plc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACOR,Acorda Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACRE,Ares Commercial Real Estate Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ACRX,AcelRx Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ACTG,Acacia Research Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADBE,Adobe Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADC,Agree Realty Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ADES,Advanced Emissions Solutions Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADI,"Analog Devices, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADM,Archer Daniels Midland Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ADMS,Adamas Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADP,Automatic Data Processing,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADS,Alliance Data Systems Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ADSK,"Autodesk, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADT,ADT Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ADTN,"ADTRAN, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ADUS,Addus Homecare Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AEE,Ameren Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AEGN,Aegion Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AEIS,"Advanced Energy Industries, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AEL,American Equity Investment Life Holding,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AEO,American Eagle Outfitters,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AEP,American Electric Power Company Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AERI,Aerie Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AES,AES Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AFG,American Financial Group Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AFH,Atlas Financial Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AFL,AFLAC Incorporated,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGCO,AGCO Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGEN,Agenus Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AGIO,Agios Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AGM,Federal Agricultural Mortgage Corp. Class C,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGN,Allergan plc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGNC,AGNC Investment Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AGO,Assured Guaranty Ltd.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGTC,Applied Genetic Technologies Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AGX,"Argan, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGYS,"Agilysys, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AHC,A. H. Belo Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHH,Armada Hoffler Properties Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHL,Aspen Insurance Holdings Limited,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHT,"Ashford Hospitality Trust, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AI,Arlington Asset Investment Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIG,American International Group Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIMC,Altra Industrial Motion Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AIN,Albany International Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIQ,GLB X FUNDS/FUTURE ANALYTICS TE,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AIR,AAR Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
