,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
0,Thompson,272.15,272.15,92,55.74,-97.86,90,2.1,1540836000,CA
1,Ushuaia,283.15,284.15,31,-54.81,-68.31,40,1.5,1540836000,AR
2,Richards Bay,298.936,298.936,54,-28.77,32.06,12,7.52,1540840027,ZA
3,Avarua,295.15,295.15,94,-21.21,-159.78,90,8.2,1540836000,CK
4,Souillac,277.15,278.15,93,45.6,-0.6,90,3.1,1540837800,FR
5,La Ronge,273.15,273.15,100,55.1,-105.3,90,3.6,1540837260,CA
6,Bredasdorp,295.15,295.15,49,-34.53,20.04,0,2.6,1540836000,ZA
7,Gobabis,306.15,306.15,21,-22.45,18.97,64,1.5,1540836000,NA
8,Nikolskoye,271.15,271.15,79,59.7,30.79,0,5.0,1540837800,RU
9,Punta Arenas,284.15,285.15,27,-53.16,-70.91,0,14.4,1540836000,CL
10,Krasnaya Gorka,271.886,271.886,79,55.19,56.67,20,5.82,1540840029,RU
11,Hermosillo,304.15,304.15,35,29.09,-110.96,75,2.1,1540835040,MX
12,Port Elizabeth,287.05,289.25,57,39.31,-74.98,90,5.1,1540839300,US
13,Chokurdakh,269.911,269.911,87,70.62,147.9,88,6.07,1540840029,RU
14,Tessalit,300.786,300.786,25,20.2,1.01,0,1.42,1540840030,ML
15,Clyde River,258.15,258.15,77,70.47,-68.59,20,6.2,1540836000,CA
16,Srednekolymsk,264.461,264.461,81,67.46,153.71,80,2.57,1540840030,RU
17,Rikitea,292.661,292.661,100,-23.12,-134.97,100,8.87,1540840031,PF
18,Tasiilaq,271.15,271.15,46,65.61,-37.64,88,0.5,1540839000,GL
19,Mataura,278.136,278.136,93,-46.19,168.86,100,4.92,1540839924,NZ
20,Atuona,299.711,299.711,100,-9.8,-139.03,64,8.97,1540839865,PF
21,Deniliquin,281.986,281.986,63,-35.53,144.96,0,1.27,1540840032,AU
22,Kruisfontein,296.061,296.061,60,-34.0,24.73,92,4.02,1540840032,ZA
23,Torbay,290.15,290.15,93,47.66,-52.73,90,11.3,1540836000,CA
24,Vaini,294.311,294.311,51,15.34,74.49,0,2.07,1540839815,IN
25,Port Alfred,295.136,295.136,80,-33.59,26.89,80,3.62,1540840033,ZA
26,Cochrane,286.636,286.636,43,-47.25,-72.57,24,1.17,1540840033,CL
27,Yangambi,294.311,294.311,100,0.77,24.47,64,0.92,1540840034,CD
28,New Norfolk,282.15,282.15,76,-42.78,147.06,0,2.22,1540837800,AU
29,Hermanus,292.736,292.736,56,-34.42,19.24,12,7.92,1540840034,ZA
30,Mount Gambier,278.161,278.161,90,-37.83,140.78,36,1.07,1540840034,AU
